ORDER_ID,ORDER_DATE,AGE,CATEGORY,ITEM_NAME,PRICE
10001,2024-01-01,20대,전자기기,스마트폰,800000
10002,2024-01-02,30대,의류,자켓,120000
10003,2024-01-03,40대,식품,커피,5000
10004,2024-01-04,20대,전자기기,스마트폰,800000
10005,2024-01-05,30대,의류,자켓,120000
10006,2024-01-06,40대,식품,커피,5000
10007,2024-01-07,20대,전자기기,스마트폰,800000
10008,2024-01-08,30대,의류,자켓,120000
10009,2024-01-09,40대,식품,커피,5000
10010,2024-01-01,20대,전자기기,스마트폰,800000
10011,2024-01-02,30대,의류,자켓,120000
10012,2024-01-03,40대,식품,커피,5000
10013,2024-01-04,20대,전자기기,스마트폰,800000
10014,2024-01-05,30대,의류,자켓,120000
10015,2024-01-06,40대,식품,커피,5000
10016,2024-01-07,20대,전자기기,스마트폰,800000
10017,2024-01-08,30대,의류,자켓,120000
10018,2024-01-09,40대,식품,커피,5000
10019,2024-01-01,20대,전자기기,스마트폰,800000
10020,2024-01-02,30대,의류,자켓,120000
10021,2024-01-03,40대,식품,커피,5000
10022,2024-01-04,20대,전자기기,스마트폰,800000
10023,2024-01-05,30대,의류,자켓,120000
10024,2024-01-06,40대,식품,커피,5000
10025,2024-01-07,20대,전자기기,스마트폰,800000
10026,2024-01-08,30대,의류,자켓,120000
10027,2024-01-09,40대,식품,커피,5000
10028,2024-01-01,20대,전자기기,스마트폰,800000
10029,2024-01-02,30대,의류,자켓,120000
10030,2024-01-03,40대,식품,커피,5000
10031,2024-01-04,20대,전자기기,스마트폰,800000
10032,2024-01-05,30대,의류,자켓,120000
10033,2024-01-06,40대,식품,커피,5000
10034,2024-01-07,20대,전자기기,스마트폰,800000
10035,2024-01-08,30대,의류,자켓,120000
10036,2024-01-09,40대,식품,커피,5000
10037,2024-01-01,20대,전자기기,스마트폰,800000
10038,2024-01-02,30대,의류,자켓,120000
10039,2024-01-03,40대,식품,커피,5000
10040,2024-01-04,20대,전자기기,스마트폰,800000
10041,2024-01-05,30대,의류,자켓,120000
10042,2024-01-06,40대,식품,커피,5000
10043,2024-01-07,20대,전자기기,스마트폰,800000
10044,2024-01-08,30대,의류,자켓,120000
10045,2024-01-09,40대,식품,커피,5000
10046,2024-01-01,20대,전자기기,스마트폰,800000
10047,2024-01-02,30대,의류,자켓,120000
10048,2024-01-03,40대,식품,커피,5000
10049,2024-01-04,20대,전자기기,스마트폰,800000
10050,2024-01-05,30대,의류,자켓,120000
10051,2024-01-06,40대,식품,커피,5000
10052,2024-01-07,20대,전자기기,스마트폰,800000
10053,2024-01-08,30대,의류,자켓,120000
10054,2024-01-09,40대,식품,커피,5000
10055,2024-01-01,20대,전자기기,스마트폰,800000
10056,2024-01-02,30대,의류,자켓,120000
10057,2024-01-03,40대,식품,커피,5000
10058,2024-01-04,20대,전자기기,스마트폰,800000
10059,2024-01-05,30대,의류,자켓,120000
10060,2024-01-06,40대,식품,커피,5000
10061,2024-01-07,20대,전자기기,스마트폰,800000
10062,2024-01-08,30대,의류,자켓,120000
10063,2024-01-09,40대,식품,커피,5000
10064,2024-01-01,20대,전자기기,스마트폰,800000
10065,2024-01-02,30대,의류,자켓,120000
10066,2024-01-03,40대,식품,커피,5000
10067,2024-01-04,20대,전자기기,스마트폰,800000
10068,2024-01-05,30대,의류,자켓,120000
10069,2024-01-06,40대,식품,커피,5000
10070,2024-01-07,20대,전자기기,스마트폰,800000
10071,2024-01-08,30대,의류,자켓,120000
10072,2024-01-09,40대,식품,커피,5000
10073,2024-01-01,20대,전자기기,스마트폰,800000
10074,2024-01-02,30대,의류,자켓,120000
10075,2024-01-03,40대,식품,커피,5000
10076,2024-01-04,20대,전자기기,스마트폰,800000
