대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
142289,0074,남자,20,0147,여자,20,0109,남자,20,콘텐츠 소비,힙하게,1,A,힙하게 본 사람 있어?,
,,,,,,,,,,,,2,B,나! 너무 재밌었어 ㅋㅋ,
,,,,,,,,,,,,3,C,나도 봤어! 한지민 연기 진짜 머박이었지,머박
,,,,,,,,,,,,4,A,맞아! 그리고 이민기도 너무 멋있었어,
,,,,,,,,,,,,5,B,연애하는 장면들도 너무 귀여웠지,
,,,,,,,,,,,,6,C,그래! 근데 결말이 너무 좋았어,
,,,,,,,,,,,,7,A,마지막에 큰 웃음을 선사했지,
,,,,,,,,,,,,8,B,진짜 최고의 해피엔딩이었어,
,,,,,,,,,,,,9,C,김석윤 감독과 이남규 작가의 콤비는 진짜 박박이야,박박
,,,,,,,,,,,,10,A,그렇지! 그들의 작품은 항상 재미있어,
,,,,,,,,,,,,11,B,이번에도 코미디와 스릴러를 완벽하게 섞었지,
,,,,,,,,,,,,12,C,그리고 배우들의 연기도 너무 좋았어,
,,,,,,,,,,,,13,A,한지민과 이민기의 호흡이 완전 박박이었지,박박
,,,,,,,,,,,,14,B,한지민은 짜짜 다재다능한 배우야,짜짜
,,,,,,,,,,,,15,C,맞아! 그리고 이민기는 너무 멋있었어,
,,,,,,,,,,,,16,A,그리고 초능력이 없어도 마음이 통한다는 메시지도 좋았어,
,,,,,,,,,,,,17,B,맞아! 따뜻한 감동까지 줬지,
,,,,,,,,,,,,18,C,이 드라마는 짜짜 풀패키지였어,짜짜
,,,,,,,,,,,,19,A,시청자들의 사랑을 받을 만한 작품이었지,
,,,,,,,,,,,,20,B,그래서 시청률도 높았을 것 같아,
,,,,,,,,,,,,21,C,나도 다음 작품도 기대해볼까 생각 중이야,
,,,,,,,,,,,,22,A,나도! 김석윤 감독과 이남규 작가의 작품은 놓칠 수 없어,
,,,,,,,,,,,,23,B,그렇지! 앞으로도 계속 힙하게 시청하자,
,,,,,,,,,,,,24,C,그래! 힙하게 완내스야!,완내스
044581,0093,여자,30,0111,남자,30,,,,콘텐츠 소비,애플TV+ 드라마,1,A,애플TV에서 드라마 ‘파친코’ 판권이 출판사에 넘어갔대!,
,,,,,,,,,,,,2,B,충공! 와! 그 작가 소설이 최대 화제작이었던 거지?,충공
,,,,,,,,,,,,3,A,"응, 그래! 이민진 작가의 소설 ‘파친코’야.",
,,,,,,,,,,,,4,B,판권 입찰에 참여한 출판사가 최종 오퍼로 승인받았다고 해!,
,,,,,,,,,,,,5,A,번역을 다시 해서 3개월 뒤에 서점에서 판매할 거래.,
,,,,,,,,,,,,6,B,"작가는 기존 번역으로 출간해도 괜찮다고 했는데, 번역 저작권 때문에 다시 번역해야 한대.",
,,,,,,,,,,,,7,A,"파친코 1,2권은 드라마 공개 후에 베스트셀러 1·2위에 올랐었지만 판매가 중단됐어.",
,,,,,,,,,,,,8,B,문학사상과의 계약 연장이 불발되면서 판권이 만료됐대.,
,,,,,,,,,,,,9,A,그래서 알라딘 중고서점에서 합본 세트가 품귀 현상을 겪었어.,
,,,,,,,,,,,,10,B,에릭양 에이전시가 대행한 입찰에 국내 출판사들이 많이 참여했대.,
,,,,,,,,,,,,11,A,선인세는 공개되지 않았지만 최소 25억원 이상이 될 것 같아.,
,,,,,,,,,,,,12,B,에이전시 측이 인세 8%와 최소 선인세 20만달러를 제시했대.,
,,,,,,,,,,,,13,A,판권 입찰에 참여한 출판사 관계자가 그 조건을 밝혔어.,
,,,,,,,,,,,,14,B,애플TV 드라마인 파친코의 판권은 인플루엔셜로 넘어갔으니까 기대해봐!,
,,,,,,,,,,,,15,A,"응, 기대할게! 이민진 작가의 소설을 다시 번역해서 출간하면 인기가 있을 거야.",
,,,,,,,,,,,,16,B,ㅇㅇ 그 작가 소설은 항상 재미있으니까 기대해도 좋을 것 같아!,
132785,0096,여자,30,0117,남자,30,,,,콘텐츠 소비,마스크걸,1,A,안재홍 연기 대박이야!,대박
,,,,,,,,,,,,2,B,ㄹㅇ? 왜 그래?,
,,,,,,,,,,,,3,A,걍 너무 재밌어서!,
,,,,,,,,,,,,4,B,마스크걸이라는 드라마야?,
,,,,,,,,,,,,5,A,"응, 그래! 김모미라는 캐릭터가 마스크로 얼굴을 가리고 인터넷 방송을 하면서 벌어지는 이야기야.",
,,,,,,,,,,,,6,B,와 신기하다. 안재홍이 주오남이라는 캐릭터를 연기한 거지?,
,,,,,,,,,,,,7,A,맞아! 안재홍이 주오남을 위해 외형도 변신했어.,
,,,,,,,,,,,,8,B,짜짜? 어떻게 변신했어?,짜짜
,,,,,,,,,,,,9,A,10kg 증량하고 탈모 분장까지 했대.,
